;Tarih;YEARWEEK;TP_BS07_CARI
442;19-06-2020;2020-25;43712.9
443;26-06-2020;2020-26;43551.4
444;03-07-2020;2020-27;44048.8
445;10-07-2020;2020-28;43067.9
446;17-07-2020;2020-29;43064.9
447;24-07-2020;2020-30;43611.3
448;31-07-2020;2020-31;42088.5
449;07-08-2020;2020-32;41608.9
450;14-08-2020;2020-33;42212.1
451;21-08-2020;2020-34;42551.2
452;28-08-2020;2020-35;42495.2
453;04-09-2020;2020-36;42900.6
454;11-09-2020;2020-37;42854.6
455;18-09-2020;2020-38;42465.6
456;25-09-2020;2020-39;42094.6
457;02-10-2020;2020-40;42139.2
458;09-10-2020;2020-41;42188.9
459;16-10-2020;2020-42;44170.9
460;23-10-2020;2020-43;44070.4
461;30-10-2020;2020-44;43305.2
462;06-11-2020;2020-45;43703.7
463;13-11-2020;2020-46;46119.8
464;20-11-2020;2020-47;46319.6
465;27-11-2020;2020-48;46235.2
466;04-12-2020;2020-49;48847.2
467;11-12-2020;2020-50;48420.3
468;18-12-2020;2020-51;49628.3
469;25-12-2020;2020-52;49594.7
470;01-01-2021;2021-1;49910.2
471;08-01-2021;2021-2;49897.9
472;15-01-2021;2021-3;49481.0
473;22-01-2021;2021-4;49407.9
474;29-01-2021;2021-5;52961.3
475;05-02-2021;2021-6;53500.0
476;12-02-2021;2021-7;53750.8
477;19-02-2021;2021-8;53468.3
478;26-02-2021;2021-9;52314.5
479;05-03-2021;2021-10;51513.5
480;12-03-2021;2021-11;51302.3
481;19-03-2021;2021-12;50127.0
482;26-03-2021;2021-13;46628.5
483;02-04-2021;2021-14;46148.2
484;09-04-2021;2021-15;46116.6
485;16-04-2021;2021-16;46686.5
486;23-04-2021;2021-17;46437.4
487;30-04-2021;2021-18;46213.8
488;07-05-2021;2021-19;46627.7
489;14-05-2021;2021-20;46405.3
490;21-05-2021;2021-21;46650.7
491;28-05-2021;2021-22;46381.9
492;04-06-2021;2021-23;46217.1
493;11-06-2021;2021-24;46527.6
494;18-06-2021;2021-25;45850.0
495;25-06-2021;2021-26;47425.4
496;02-07-2021;2021-27;47035.9
497;09-07-2021;2021-28;48068.0
498;16-07-2021;2021-29;48347.8
499;23-07-2021;2021-30;48169.7
500;30-07-2021;2021-31;47980.0
501;06-08-2021;2021-32;47528.9
