;Tarih;TP_DK_CNY_S
543;14-09-2013;
544;15-09-2013;
545;16-09-2013;0.33353
546;17-09-2013;0.32799
547;18-09-2013;0.32989
548;19-09-2013;0.32953
549;20-09-2013;0.32128
550;21-09-2013;
551;22-09-2013;
552;23-09-2013;0.32454
553;24-09-2013;0.32682
554;25-09-2013;0.32828
555;26-09-2013;0.32977
556;27-09-2013;0.3312
557;28-09-2013;
558;29-09-2013;
559;30-09-2013;0.33486
560;01-10-2013;0.33517
561;02-10-2013;0.33081
562;03-10-2013;0.33221
563;04-10-2013;0.32896
564;05-10-2013;
565;06-10-2013;
566;07-10-2013;0.32852
567;08-10-2013;0.3285
568;09-10-2013;0.32712
569;10-10-2013;0.32705
570;11-10-2013;0.32571
571;12-10-2013;
572;13-10-2013;
573;14-10-2013;0.32532
574;15-10-2013;
575;16-10-2013;
576;17-10-2013;
577;18-10-2013;
578;19-10-2013;
579;20-10-2013;
580;21-10-2013;0.32532
581;22-10-2013;0.32649
582;23-10-2013;0.3274
583;24-10-2013;0.32682
584;25-10-2013;0.32731
585;26-10-2013;
586;27-10-2013;
587;28-10-2013;0.32874
588;29-10-2013;
589;30-10-2013;0.32874
590;31-10-2013;0.32877
591;01-11-2013;0.32885
592;02-11-2013;
593;03-11-2013;
594;04-11-2013;0.33136
595;05-11-2013;0.33329
596;06-11-2013;0.33435
597;07-11-2013;0.33502
598;08-11-2013;0.33586
599;09-11-2013;
600;10-11-2013;
601;11-11-2013;0.33519
602;12-11-2013;0.33669
603;13-11-2013;0.33901
604;14-11-2013;0.33923
605;15-11-2013;0.33803
606;16-11-2013;
607;17-11-2013;
608;18-11-2013;0.33691
609;19-11-2013;0.33406
610;20-11-2013;0.33348
611;21-11-2013;0.3323
612;22-11-2013;0.33367
613;23-11-2013;
614;24-11-2013;
615;25-11-2013;0.33336
616;26-11-2013;0.33018
617;27-11-2013;0.33186
618;28-11-2013;0.33325
619;29-11-2013;0.33346
620;30-11-2013;
621;01-12-2013;
622;02-12-2013;0.33355
623;03-12-2013;0.33534
624;04-12-2013;0.33664
625;05-12-2013;0.33828
626;06-12-2013;0.33874
627;07-12-2013;
628;08-12-2013;
629;09-12-2013;0.33782
630;10-12-2013;0.33699
631;11-12-2013;0.33627
632;12-12-2013;0.33671
633;13-12-2013;0.33799
634;14-12-2013;
635;15-12-2013;
636;16-12-2013;0.33856
637;17-12-2013;0.33743
638;18-12-2013;0.33804
639;19-12-2013;0.33885
640;20-12-2013;0.34195
641;21-12-2013;
642;22-12-2013;
643;23-12-2013;0.34662
644;24-12-2013;0.34646
645;25-12-2013;0.34532
646;26-12-2013;0.34364
647;27-12-2013;0.34754
648;28-12-2013;
649;29-12-2013;
650;30-12-2013;0.35862
651;31-12-2013;0.3547
652;01-01-2014;
653;02-01-2014;0.35452
654;03-01-2014;0.36159
655;04-01-2014;
656;05-01-2014;
657;06-01-2014;0.36103
658;07-01-2014;0.36415
659;08-01-2014;0.36164
660;09-01-2014;0.3622
661;10-01-2014;0.36345
662;11-01-2014;
663;12-01-2014;
664;13-01-2014;0.36221
665;14-01-2014;0.36206
666;15-01-2014;0.36535
667;16-01-2014;0.36509
668;17-01-2014;0.36698
669;18-01-2014;
670;19-01-2014;
671;20-01-2014;0.36773
672;21-01-2014;0.37257
673;22-01-2014;0.3732
674;23-01-2014;0.37542
675;24-01-2014;0.37857
676;25-01-2014;
677;26-01-2014;
678;27-01-2014;0.38543
679;28-01-2014;0.39023
680;29-01-2014;0.37723
681;30-01-2014;0.36989
682;31-01-2014;0.37889
683;01-02-2014;
684;02-02-2014;
685;03-02-2014;0.37724
686;04-02-2014;0.37621
687;05-02-2014;0.37498
688;06-02-2014;0.37221
689;07-02-2014;0.36981
690;08-02-2014;
691;09-02-2014;
692;10-02-2014;0.36832
693;11-02-2014;0.36987
694;12-02-2014;0.36609
695;13-02-2014;0.36429
696;14-02-2014;0.36555
697;15-02-2014;
698;16-02-2014;
699;17-02-2014;0.36274
700;18-02-2014;0.36233
701;19-02-2014;0.3618
702;20-02-2014;0.36276
703;21-02-2014;0.36566
704;22-02-2014;
705;23-02-2014;
706;24-02-2014;0.36338
707;25-02-2014;0.36022
708;26-02-2014;0.36263
709;27-02-2014;0.36318
710;28-02-2014;0.36726
711;01-03-2014;
712;02-03-2014;
713;03-03-2014;0.36277
714;04-03-2014;0.36363
715;05-03-2014;0.36271
716;06-03-2014;0.36287
717;07-03-2014;0.36221
718;08-03-2014;
719;09-03-2014;
720;10-03-2014;0.35968
721;11-03-2014;0.36299
722;12-03-2014;0.36456
723;13-03-2014;0.36818
724;14-03-2014;0.36519
725;15-03-2014;
726;16-03-2014;
727;17-03-2014;0.36564
728;18-03-2014;0.36225
729;19-03-2014;0.3616
730;20-03-2014;0.36121
731;21-03-2014;0.36192
732;22-03-2014;
733;23-03-2014;
734;24-03-2014;0.3617
735;25-03-2014;0.36372
736;26-03-2014;0.36254
737;27-03-2014;0.35891
738;28-03-2014;0.35529
739;29-03-2014;
740;30-03-2014;
741;31-03-2014;0.35512
742;01-04-2014;0.34932
743;02-04-2014;0.34886
744;03-04-2014;0.34596
745;04-04-2014;0.34642
746;05-04-2014;
747;06-04-2014;
748;07-04-2014;0.34624
749;08-04-2014;0.3435
750;09-04-2014;0.34038
751;10-04-2014;0.34194
752;11-04-2014;0.34049
753;12-04-2014;
754;13-04-2014;
755;14-04-2014;0.34348
756;15-04-2014;0.34458
757;16-04-2014;0.34424
758;17-04-2014;0.34523
759;18-04-2014;0.34507
760;19-04-2014;
761;20-04-2014;
762;21-04-2014;0.34452
763;22-04-2014;0.345
764;23-04-2014;
765;24-04-2014;0.34518
766;25-04-2014;0.34484
767;26-04-2014;
768;27-04-2014;
769;28-04-2014;0.34378
770;29-04-2014;0.34341
771;30-04-2014;0.34097
772;01-05-2014;
773;02-05-2014;0.34042
774;03-05-2014;
775;04-05-2014;
776;05-05-2014;0.33916
777;06-05-2014;0.33821
778;07-05-2014;0.33868
779;08-05-2014;0.33814
780;09-05-2014;0.33556
781;10-05-2014;
782;11-05-2014;
783;12-05-2014;0.3359
784;13-05-2014;0.33522
785;14-05-2014;0.33489
786;15-05-2014;0.33496
787;16-05-2014;0.33585
788;17-05-2014;
789;18-05-2014;
790;19-05-2014;
791;20-05-2014;0.33906
792;21-05-2014;0.33987
793;22-05-2014;0.34052
794;23-05-2014;0.33802
795;24-05-2014;
796;25-05-2014;
797;26-05-2014;0.33671
798;27-05-2014;0.33664
799;28-05-2014;0.33814
800;29-05-2014;0.33897
801;30-05-2014;0.33778
802;31-05-2014;
803;01-06-2014;
804;02-06-2014;0.33729
805;03-06-2014;0.33796
806;04-06-2014;0.33853
807;05-06-2014;0.34167
808;06-06-2014;0.33961
809;07-06-2014;
810;08-06-2014;
811;09-06-2014;0.3368
812;10-06-2014;0.33548
813;11-06-2014;0.33769
814;12-06-2014;0.33829
815;13-06-2014;0.34116
816;14-06-2014;
817;15-06-2014;
818;16-06-2014;0.34392
819;17-06-2014;0.34592
820;18-06-2014;0.34533
821;19-06-2014;0.34652
822;20-06-2014;0.34395
823;21-06-2014;
824;22-06-2014;
825;23-06-2014;0.34585
826;24-06-2014;0.34616
827;25-06-2014;0.34459
828;26-06-2014;0.34554
829;27-06-2014;0.34456
830;28-06-2014;
831;29-06-2014;
832;30-06-2014;0.344
833;01-07-2014;0.34467
834;02-07-2014;0.34432
835;03-07-2014;0.34509
836;04-07-2014;0.34562
837;05-07-2014;
838;06-07-2014;
839;07-07-2014;0.34556
840;08-07-2014;0.34616
841;09-07-2014;0.34521
842;10-07-2014;0.3451
843;11-07-2014;0.34488
844;12-07-2014;
845;13-07-2014;
846;14-07-2014;0.34459
847;15-07-2014;0.34378
848;16-07-2014;0.34403
849;17-07-2014;0.34468
850;18-07-2014;0.34461
851;19-07-2014;
852;20-07-2014;
853;21-07-2014;0.34515
854;22-07-2014;0.34356
855;23-07-2014;0.34393
856;24-07-2014;0.33996
857;25-07-2014;0.33995
858;26-07-2014;
859;27-07-2014;
860;28-07-2014;
861;29-07-2014;
862;30-07-2014;
863;31-07-2014;0.34034
864;01-08-2014;0.34811
865;02-08-2014;
866;03-08-2014;
867;04-08-2014;0.34964
868;05-08-2014;0.3475
869;06-08-2014;0.34712
870;07-08-2014;0.35335
871;08-08-2014;0.35292
872;09-08-2014;
873;10-08-2014;
874;11-08-2014;0.35481
875;12-08-2014;0.3518
876;13-08-2014;0.35356
877;14-08-2014;0.35335
878;15-08-2014;0.35295
879;16-08-2014;
880;17-08-2014;
881;18-08-2014;0.35334
882;19-08-2014;0.35553
883;20-08-2014;0.35486
884;21-08-2014;0.35569
885;22-08-2014;0.35642
886;23-08-2014;
887;24-08-2014;
888;25-08-2014;0.35643
889;26-08-2014;0.35647
890;27-08-2014;0.35509
891;28-08-2014;0.35387
892;29-08-2014;0.35454
893;30-08-2014;
894;31-08-2014;
895;01-09-2014;0.35393
896;02-09-2014;0.35439
897;03-09-2014;0.35514
898;04-09-2014;0.3546
899;05-09-2014;0.3539
900;06-09-2014;
901;07-09-2014;
902;08-09-2014;0.35494
903;09-09-2014;0.35482
904;10-09-2014;0.35956
905;11-09-2014;0.36195
906;12-09-2014;0.36028
907;13-09-2014;
908;14-09-2014;
909;15-09-2014;0.36152
910;16-09-2014;0.36322
911;17-09-2014;0.36208
912;18-09-2014;0.36195
913;19-09-2014;0.36454
914;20-09-2014;
915;21-09-2014;
916;22-09-2014;0.36474
917;23-09-2014;0.36752
918;24-09-2014;0.36631
919;25-09-2014;0.36654
920;26-09-2014;0.36909
921;27-09-2014;
922;28-09-2014;
923;29-09-2014;0.37083
924;30-09-2014;0.37339
925;01-10-2014;0.37364
926;02-10-2014;0.37466
927;03-10-2014;0.37303
928;04-10-2014;
929;05-10-2014;
930;06-10-2014;
931;07-10-2014;
932;08-10-2014;0.37303
933;09-10-2014;0.37546
934;10-10-2014;0.37093
935;11-10-2014;
936;12-10-2014;
937;13-10-2014;0.37445
938;14-10-2014;0.37333
939;15-10-2014;0.37471
940;16-10-2014;0.37325
941;17-10-2014;0.37394
942;18-10-2014;
943;19-10-2014;
944;20-10-2014;0.37025
945;21-10-2014;0.36937
946;22-10-2014;0.36859
947;23-10-2014;0.36955
948;24-10-2014;0.36852
949;25-10-2014;
950;26-10-2014;
951;27-10-2014;0.36852
952;28-10-2014;0.36823
953;29-10-2014;
954;30-10-2014;0.36823
955;31-10-2014;0.36527
956;01-11-2014;
957;02-11-2014;
958;03-11-2014;0.36302
959;04-11-2014;0.36635
960;05-11-2014;0.3663
961;06-11-2014;0.36824
962;07-11-2014;0.36899
963;08-11-2014;
964;09-11-2014;
965;10-11-2014;0.37362
966;11-11-2014;0.36988
967;12-11-2014;0.37232
968;13-11-2014;0.37131
969;14-11-2014;0.36925
970;15-11-2014;
971;16-11-2014;
972;17-11-2014;0.36847
973;18-11-2014;0.36658
974;19-11-2014;0.36543
975;20-11-2014;0.36669
976;21-11-2014;0.36714
977;22-11-2014;
978;23-11-2014;
979;24-11-2014;0.36544
980;25-11-2014;0.36511
981;26-11-2014;0.36578
982;27-11-2014;0.36454
983;28-11-2014;0.36346
984;29-11-2014;
985;30-11-2014;
986;01-12-2014;0.36243
987;02-12-2014;0.36355
988;03-12-2014;0.36361
989;04-12-2014;0.36614
990;05-12-2014;0.36604
991;06-12-2014;
992;07-12-2014;
993;08-12-2014;0.36623
994;09-12-2014;0.37091
995;10-12-2014;0.36782
996;11-12-2014;0.36869
997;12-12-2014;0.36787
998;13-12-2014;
999;14-12-2014;
1000;15-12-2014;0.37095
1001;16-12-2014;0.37729
1002;17-12-2014;0.38527
1003;18-12-2014;0.38452
1004;19-12-2014;0.37656
1005;20-12-2014;
1006;21-12-2014;
1007;22-12-2014;0.3761
1008;23-12-2014;0.37516
1009;24-12-2014;0.37483
1010;25-12-2014;0.37617
1011;26-12-2014;0.37677
1012;27-12-2014;
1013;28-12-2014;
1014;29-12-2014;0.3759
1015;30-12-2014;0.37616
1016;31-12-2014;0.37665
1017;01-01-2015;
1018;02-01-2015;0.37772
1019;03-01-2015;
1020;04-01-2015;
1021;05-01-2015;0.38063
1022;06-01-2015;0.37921
1023;07-01-2015;0.37743
1024;08-01-2015;0.37709
1025;09-01-2015;0.37407
1026;10-01-2015;
1027;11-01-2015;
1028;12-01-2015;0.37327
1029;13-01-2015;0.37177
1030;14-01-2015;0.3702
1031;15-01-2015;0.37277
1032;16-01-2015;0.37123
1033;17-01-2015;
1034;18-01-2015;
1035;19-01-2015;0.37468
1036;20-01-2015;0.37875
1037;21-01-2015;0.37865
1038;22-01-2015;0.37938
1039;23-01-2015;0.38075
1040;24-01-2015;
1041;25-01-2015;
1042;26-01-2015;0.37747
1043;27-01-2015;0.38013
1044;28-01-2015;0.38013
1045;29-01-2015;0.3809
1046;30-01-2015;0.38728
1047;31-01-2015;
1048;01-02-2015;
1049;02-02-2015;0.3897
1050;03-02-2015;0.39005
1051;04-02-2015;0.38877
1052;05-02-2015;0.38858
1053;06-02-2015;0.39382
1054;07-02-2015;
1055;08-02-2015;
1056;09-02-2015;0.39273
1057;10-02-2015;0.40083
1058;11-02-2015;0.40025
1059;12-02-2015;0.40176
1060;13-02-2015;0.40147
1061;14-02-2015;
1062;15-02-2015;
1063;16-02-2015;0.39838
1064;17-02-2015;0.39539
1065;18-02-2015;0.39428
1066;19-02-2015;0.39638
1067;20-02-2015;0.39326
1068;21-02-2015;
1069;22-02-2015;
1070;23-02-2015;0.39507
1071;24-02-2015;0.39896
1072;25-02-2015;0.39886
1073;26-02-2015;0.39589
1074;27-02-2015;0.39894
1075;28-02-2015;
1076;01-03-2015;
1077;02-03-2015;0.40295
1078;03-03-2015;0.40342
1079;04-03-2015;0.4044
1080;05-03-2015;0.4082
1081;06-03-2015;0.41503
1082;07-03-2015;
1083;08-03-2015;
1084;09-03-2015;0.41791
1085;10-03-2015;0.4189
1086;11-03-2015;0.42264
1087;12-03-2015;0.42134
1088;13-03-2015;0.41647
1089;14-03-2015;
1090;15-03-2015;
1091;16-03-2015;0.42054
1092;17-03-2015;0.42159
1093;18-03-2015;0.42151
1094;19-03-2015;0.4233
1095;20-03-2015;0.42152
1096;21-03-2015;
1097;22-03-2015;
1098;23-03-2015;0.42119
1099;24-03-2015;0.41667
1100;25-03-2015;0.41407
1101;26-03-2015;0.41439
1102;27-03-2015;0.42108
1103;28-03-2015;
1104;29-03-2015;
1105;30-03-2015;0.4232
1106;31-03-2015;0.42364
1107;01-04-2015;0.42468
1108;02-04-2015;0.42274
1109;03-04-2015;0.42165
1110;04-04-2015;
1111;05-04-2015;
1112;06-04-2015;0.42136
1113;07-04-2015;0.4176
1114;08-04-2015;0.41935
1115;09-04-2015;0.42026
1116;10-04-2015;0.42115
1117;11-04-2015;
1118;12-04-2015;
1119;13-04-2015;0.4258
1120;14-04-2015;0.42885
1121;15-04-2015;0.43342
1122;16-04-2015;0.43779
1123;17-04-2015;0.43847
1124;18-04-2015;
1125;19-04-2015;
1126;20-04-2015;0.43602
1127;21-04-2015;0.43709
1128;22-04-2015;0.43849
1129;23-04-2015;
1130;24-04-2015;0.4371
1131;25-04-2015;
1132;26-04-2015;
1133;27-04-2015;0.44266
1134;28-04-2015;0.44159
1135;29-04-2015;0.43465
1136;30-04-2015;0.43292
1137;01-05-2015;
1138;02-05-2015;
1139;03-05-2015;
1140;04-05-2015;0.4314
1141;05-05-2015;0.43985
1142;06-05-2015;0.43987
1143;07-05-2015;0.4399
1144;08-05-2015;0.43823
1145;09-05-2015;
1146;10-05-2015;
1147;11-05-2015;0.43579
1148;12-05-2015;0.43722
1149;13-05-2015;0.43629
1150;14-05-2015;0.43076
1151;15-05-2015;0.42486
1152;16-05-2015;
1153;17-05-2015;
1154;18-05-2015;0.41996
1155;19-05-2015;
1156;20-05-2015;0.41862
1157;21-05-2015;0.42249
1158;22-05-2015;0.41722
1159;23-05-2015;
1160;24-05-2015;
1161;25-05-2015;0.4212
1162;26-05-2015;0.42336
1163;27-05-2015;0.42668
1164;28-05-2015;0.4292
1165;29-05-2015;0.43108
1166;30-05-2015;
1167;31-05-2015;
1168;01-06-2015;0.43208
1169;02-06-2015;0.4349
1170;03-06-2015;0.4353
1171;04-06-2015;0.43584
1172;05-06-2015;0.43751
1173;06-06-2015;
1174;07-06-2015;
1175;08-06-2015;0.43254
1176;09-06-2015;0.4496
1177;10-06-2015;0.44606
1178;11-06-2015;0.44408
1179;12-06-2015;0.44455
1180;13-06-2015;
1181;14-06-2015;
1182;15-06-2015;0.44032
1183;16-06-2015;0.44333
1184;17-06-2015;0.44473
1185;18-06-2015;0.44362
1186;19-06-2015;0.4401
1187;20-06-2015;
1188;21-06-2015;
1189;22-06-2015;0.44038
1190;23-06-2015;0.43457
1191;24-06-2015;0.43352
1192;25-06-2015;0.43445
1193;26-06-2015;0.43219
1194;27-06-2015;
1195;28-06-2015;
1196;29-06-2015;0.43138
1197;30-06-2015;0.43585
1198;01-07-2015;0.43615
1199;02-07-2015;0.43459
1200;03-07-2015;0.43824
1201;04-07-2015;
1202;05-07-2015;
1203;06-07-2015;0.43631
1204;07-07-2015;0.43644
1205;08-07-2015;0.43465
1206;09-07-2015;0.43636
1207;10-07-2015;0.43406
1208;11-07-2015;
1209;12-07-2015;
1210;13-07-2015;0.43168
1211;14-07-2015;0.4309
1212;15-07-2015;0.42775
1213;16-07-2015;0.42793
1214;17-07-2015;
1215;18-07-2015;
1216;19-07-2015;
1217;20-07-2015;0.42793
1218;21-07-2015;0.43408
1219;22-07-2015;0.43591
1220;23-07-2015;0.4387
1221;24-07-2015;0.44118
1222;25-07-2015;
1223;26-07-2015;
1224;27-07-2015;0.44406
1225;28-07-2015;0.44724
1226;29-07-2015;0.44698
1227;30-07-2015;0.44837
1228;31-07-2015;0.45012
1229;01-08-2015;
1230;02-08-2015;
1231;03-08-2015;0.45163
1232;04-08-2015;0.44996
1233;05-08-2015;0.44919
1234;06-08-2015;0.45176
1235;07-08-2015;0.45149
1236;08-08-2015;
1237;09-08-2015;
1238;10-08-2015;0.45083
1239;11-08-2015;0.45197
1240;12-08-2015;0.44073
1241;13-08-2015;0.43676
1242;14-08-2015;0.43779
1243;15-08-2015;
1244;16-08-2015;
1245;17-08-2015;0.44611
1246;18-08-2015;0.44872
1247;19-08-2015;0.45254
1248;20-08-2015;0.45688
1249;21-08-2015;0.46778
1250;22-08-2015;
1251;23-08-2015;
1252;24-08-2015;0.45967
1253;25-08-2015;0.46389
1254;26-08-2015;0.4596
1255;27-08-2015;0.46104
1256;28-08-2015;0.45767
1257;29-08-2015;
1258;30-08-2015;
1259;31-08-2015;0.45956
1260;01-09-2015;0.46092
1261;02-09-2015;0.46125
1262;03-09-2015;0.46594
1263;04-09-2015;0.46854
1264;05-09-2015;
1265;06-09-2015;
1266;07-09-2015;0.47192
1267;08-09-2015;0.47921
1268;09-09-2015;0.47703
1269;10-09-2015;0.47451
1270;11-09-2015;0.48026
1271;12-09-2015;
1272;13-09-2015;
1273;14-09-2015;0.4795
1274;15-09-2015;0.48406
1275;16-09-2015;0.48134
1276;17-09-2015;0.47629
1277;18-09-2015;0.47698
1278;19-09-2015;
1279;20-09-2015;
1280;21-09-2015;0.47428
1281;22-09-2015;0.47416
1282;23-09-2015;0.47514
1283;24-09-2015;
1284;25-09-2015;
1285;26-09-2015;
1286;27-09-2015;
1287;28-09-2015;0.47514
