;Tarih;TP_DK_CNY_A
458;21-06-2013;0.31101
459;22-06-2013;
460;23-06-2013;
461;24-06-2013;0.31311
462;25-06-2013;0.3141
463;26-06-2013;0.31292
464;27-06-2013;0.31254
465;28-06-2013;0.31164
466;29-06-2013;
467;30-06-2013;
468;01-07-2013;0.31181
469;02-07-2013;0.31189
470;03-07-2013;0.31157
471;04-07-2013;0.3159
472;05-07-2013;0.31624
473;06-07-2013;
474;07-07-2013;
475;08-07-2013;0.31578
476;09-07-2013;0.31625
477;10-07-2013;0.31451
478;11-07-2013;0.31507
479;12-07-2013;0.31444
480;13-07-2013;
481;14-07-2013;
482;15-07-2013;0.31711
483;16-07-2013;0.31447
484;17-07-2013;0.31243
485;18-07-2013;0.31206
486;19-07-2013;0.31032
487;20-07-2013;
488;21-07-2013;
489;22-07-2013;0.31126
490;23-07-2013;0.31014
491;24-07-2013;0.30974
492;25-07-2013;0.30901
493;26-07-2013;0.31197
494;27-07-2013;
495;28-07-2013;
496;29-07-2013;0.3114
497;30-07-2013;0.3119
498;31-07-2013;0.31204
499;01-08-2013;0.31326
500;02-08-2013;0.31388
501;03-08-2013;
502;04-08-2013;
503;05-08-2013;0.31557
504;06-08-2013;0.31305
505;07-08-2013;0.31337
506;08-08-2013;
507;09-08-2013;
508;10-08-2013;
509;11-08-2013;
510;12-08-2013;0.31337
511;13-08-2013;0.31236
512;14-08-2013;0.31276
513;15-08-2013;0.31456
514;16-08-2013;0.31372
515;17-08-2013;
516;18-08-2013;
517;19-08-2013;0.31456
518;20-08-2013;0.31619
519;21-08-2013;0.31628
520;22-08-2013;0.31795
521;23-08-2013;0.32222
522;24-08-2013;
523;25-08-2013;
524;26-08-2013;0.32245
525;27-08-2013;0.32411
526;28-08-2013;0.32854
527;29-08-2013;0.33398
528;30-08-2013;
529;31-08-2013;
530;01-09-2013;
531;02-09-2013;0.32999
532;03-09-2013;0.32762
533;04-09-2013;0.33168
534;05-09-2013;0.33374
535;06-09-2013;0.33687
536;07-09-2013;
537;08-09-2013;
538;09-09-2013;0.33519
539;10-09-2013;0.33116
540;11-09-2013;0.3296
541;12-09-2013;0.32726
542;13-09-2013;0.32854
543;14-09-2013;
544;15-09-2013;
545;16-09-2013;0.32922
546;17-09-2013;0.32376
547;18-09-2013;0.32563
548;19-09-2013;0.32528
549;20-09-2013;0.31713
550;21-09-2013;
551;22-09-2013;
552;23-09-2013;0.32035
553;24-09-2013;0.3226
554;25-09-2013;0.32404
555;26-09-2013;0.32551
556;27-09-2013;0.32692
557;28-09-2013;
558;29-09-2013;
559;30-09-2013;0.33053
560;01-10-2013;0.33084
561;02-10-2013;0.32654
562;03-10-2013;0.32792
563;04-10-2013;0.32471
564;05-10-2013;
565;06-10-2013;
566;07-10-2013;0.32428
567;08-10-2013;0.32426
568;09-10-2013;0.3229
569;10-10-2013;0.32283
570;11-10-2013;0.3215
571;12-10-2013;
572;13-10-2013;
573;14-10-2013;0.32112
574;15-10-2013;
575;16-10-2013;
576;17-10-2013;
577;18-10-2013;
578;19-10-2013;
579;20-10-2013;
580;21-10-2013;0.32112
581;22-10-2013;0.32227
582;23-10-2013;0.32317
583;24-10-2013;0.3226
584;25-10-2013;0.32308
585;26-10-2013;
586;27-10-2013;
587;28-10-2013;0.32449
588;29-10-2013;
589;30-10-2013;0.32449
590;31-10-2013;0.32453
591;01-11-2013;0.3246
592;02-11-2013;
593;03-11-2013;
594;04-11-2013;0.32708
595;05-11-2013;0.32899
596;06-11-2013;0.33003
597;07-11-2013;0.3307
598;08-11-2013;0.33152
599;09-11-2013;
600;10-11-2013;
601;11-11-2013;0.33086
602;12-11-2013;0.33234
603;13-11-2013;0.33463
604;14-11-2013;0.33485
605;15-11-2013;0.33366
606;16-11-2013;
607;17-11-2013;
608;18-11-2013;0.33255
609;19-11-2013;0.32974
610;20-11-2013;0.32917
611;21-11-2013;0.32801
612;22-11-2013;0.32936
613;23-11-2013;
614;24-11-2013;
615;25-11-2013;0.32905
616;26-11-2013;0.32592
617;27-11-2013;0.32758
618;28-11-2013;0.32894
619;29-11-2013;0.32916
620;30-11-2013;
621;01-12-2013;
622;02-12-2013;0.32924
623;03-12-2013;0.33101
624;04-12-2013;0.3323
625;05-12-2013;0.33391
626;06-12-2013;0.33436
627;07-12-2013;
628;08-12-2013;
629;09-12-2013;0.33345
630;10-12-2013;0.33264
631;11-12-2013;0.33193
632;12-12-2013;0.33236
633;13-12-2013;0.33363
634;14-12-2013;
635;15-12-2013;
636;16-12-2013;0.33419
637;17-12-2013;0.33307
638;18-12-2013;0.33368
639;19-12-2013;0.33447
640;20-12-2013;0.33753
641;21-12-2013;
642;22-12-2013;
643;23-12-2013;0.34215
644;24-12-2013;0.34199
645;25-12-2013;0.34086
646;26-12-2013;0.3392
647;27-12-2013;0.34305
648;28-12-2013;
649;29-12-2013;
650;30-12-2013;0.35399
651;31-12-2013;0.35011
652;01-01-2014;
653;02-01-2014;0.34994
654;03-01-2014;0.35692
655;04-01-2014;
656;05-01-2014;
657;06-01-2014;0.35636
658;07-01-2014;0.35944
659;08-01-2014;0.35697
660;09-01-2014;0.35753
661;10-01-2014;0.35875
662;11-01-2014;
663;12-01-2014;
664;13-01-2014;0.35753
665;14-01-2014;0.35738
666;15-01-2014;0.36063
667;16-01-2014;0.36038
668;17-01-2014;0.36224
669;18-01-2014;
670;19-01-2014;
671;20-01-2014;0.36298
672;21-01-2014;0.36775
673;22-01-2014;0.36838
674;23-01-2014;0.37057
675;24-01-2014;0.37368
676;25-01-2014;
677;26-01-2014;
678;27-01-2014;0.38045
679;28-01-2014;0.38519
680;29-01-2014;0.37236
681;30-01-2014;0.36511
682;31-01-2014;0.374
683;01-02-2014;
684;02-02-2014;
685;03-02-2014;0.37237
686;04-02-2014;0.37135
687;05-02-2014;0.37014
688;06-02-2014;0.3674
689;07-02-2014;0.36504
690;08-02-2014;
691;09-02-2014;
692;10-02-2014;0.36356
693;11-02-2014;0.36509
694;12-02-2014;0.36136
695;13-02-2014;0.35959
696;14-02-2014;0.36083
697;15-02-2014;
698;16-02-2014;
699;17-02-2014;0.35805
700;18-02-2014;0.35765
701;19-02-2014;0.35713
702;20-02-2014;0.35808
703;21-02-2014;0.36094
704;22-02-2014;
705;23-02-2014;
706;24-02-2014;0.35869
707;25-02-2014;0.35557
708;26-02-2014;0.35795
709;27-02-2014;0.35849
710;28-02-2014;0.36252
711;01-03-2014;
712;02-03-2014;
713;03-03-2014;0.35809
714;04-03-2014;0.35893
715;05-03-2014;0.35802
716;06-03-2014;0.35818
717;07-03-2014;0.35753
718;08-03-2014;
719;09-03-2014;
720;10-03-2014;0.35503
721;11-03-2014;0.3583
722;12-03-2014;0.35985
723;13-03-2014;0.36342
724;14-03-2014;0.36047
725;15-03-2014;
726;16-03-2014;
727;17-03-2014;0.36092
728;18-03-2014;0.35757
729;19-03-2014;0.35693
730;20-03-2014;0.35654
731;21-03-2014;0.35724
732;22-03-2014;
733;23-03-2014;
734;24-03-2014;0.35703
735;25-03-2014;0.35902
736;26-03-2014;0.35786
737;27-03-2014;0.35428
738;28-03-2014;0.35071
739;29-03-2014;
740;30-03-2014;
741;31-03-2014;0.35053
742;01-04-2014;0.34481
743;02-04-2014;0.34435
744;03-04-2014;0.34149
745;04-04-2014;0.34195
746;05-04-2014;
