;Tarih;TP_AOFO
459;11-10-2012;5.24
460;12-10-2012;5.43
461;15-10-2012;5.38
462;16-10-2012;5.33
463;17-10-2012;5.34
464;18-10-2012;5.41
465;19-10-2012;5.44
466;22-10-2012;5.6
467;23-10-2012;5.77
468;24-10-2012;5.58
469;25-10-2012;
470;26-10-2012;
471;29-10-2012;
472;30-10-2012;5.51
473;31-10-2012;5.48
474;01-11-2012;5.38
475;02-11-2012;5.9
476;05-11-2012;5.45
477;06-11-2012;5.43
478;07-11-2012;5.28
479;08-11-2012;5.26
480;09-11-2012;5.32
481;12-11-2012;5.37
482;13-11-2012;5.29
483;14-11-2012;5.33
484;15-11-2012;5.41
485;16-11-2012;5.41
486;19-11-2012;5.52
487;20-11-2012;6.36
488;21-11-2012;5.86
489;22-11-2012;5.59
490;23-11-2012;5.31
491;26-11-2012;5.27
492;27-11-2012;5.49
493;28-11-2012;5.41
494;29-11-2012;5.71
495;30-11-2012;5.76
496;03-12-2012;5.86
497;04-12-2012;5.81
498;05-12-2012;5.92
499;06-12-2012;6.0
500;07-12-2012;5.91
501;10-12-2012;5.86
502;11-12-2012;5.71
503;12-12-2012;5.59
504;13-12-2012;5.44
505;14-12-2012;5.46
506;17-12-2012;5.99
507;18-12-2012;6.33
508;19-12-2012;5.62
509;20-12-2012;5.61
510;21-12-2012;6.5
511;24-12-2012;6.54
512;25-12-2012;5.8
513;26-12-2012;5.46
514;27-12-2012;5.36
515;28-12-2012;5.44
516;31-12-2012;6.34
517;01-01-2013;
518;02-01-2013;5.51
519;03-01-2013;5.4
520;04-01-2013;5.54
521;07-01-2013;5.5
522;08-01-2013;5.49
523;09-01-2013;5.52
524;10-01-2013;5.47
525;11-01-2013;5.5
526;14-01-2013;5.52
527;15-01-2013;5.57
528;16-01-2013;5.58
529;17-01-2013;5.46
530;18-01-2013;5.72
531;21-01-2013;5.55
532;22-01-2013;5.51
533;23-01-2013;5.21
534;24-01-2013;5.18
535;25-01-2013;5.28
536;28-01-2013;5.26
537;29-01-2013;5.2
538;30-01-2013;5.06
539;31-01-2013;5.04
540;01-02-2013;5.26
541;04-02-2013;5.09
542;05-02-2013;5.17
543;06-02-2013;5.14
544;07-02-2013;5.13
545;08-02-2013;5.23
546;11-02-2013;5.45
547;12-02-2013;5.43
548;13-02-2013;5.2
549;14-02-2013;5.25
550;15-02-2013;5.35
551;18-02-2013;5.18
552;19-02-2013;5.2
553;20-02-2013;5.1
554;21-02-2013;5.32
555;22-02-2013;5.39
556;25-02-2013;5.31
557;26-02-2013;5.13
558;27-02-2013;4.91
559;28-02-2013;4.85
560;01-03-2013;5.85
561;04-03-2013;5.98
562;05-03-2013;5.25
563;06-03-2013;5.11
564;07-03-2013;5.03
565;08-03-2013;5.31
566;11-03-2013;5.29
567;12-03-2013;5.26
568;13-03-2013;5.22
569;14-03-2013;6.31
570;15-03-2013;6.74
571;18-03-2013;6.51
572;19-03-2013;6.17
573;20-03-2013;5.7
574;21-03-2013;5.2
575;22-03-2013;6.34
576;25-03-2013;6.41
577;26-03-2013;6.93
578;27-03-2013;6.63
579;28-03-2013;6.11
580;29-03-2013;7.03
581;01-04-2013;6.77
582;02-04-2013;6.73
583;03-04-2013;6.49
584;04-04-2013;6.46
585;05-04-2013;6.59
586;08-04-2013;6.38
587;09-04-2013;6.47
588;10-04-2013;5.92
589;11-04-2013;5.02
590;12-04-2013;6.42
591;15-04-2013;6.45
592;16-04-2013;5.87
593;17-04-2013;5.64
594;18-04-2013;5.37
595;19-04-2013;5.32
596;22-04-2013;5.23
597;23-04-2013;
598;24-04-2013;4.77
599;25-04-2013;4.44
600;26-04-2013;4.92
601;29-04-2013;4.59
602;30-04-2013;4.98
603;01-05-2013;
604;02-05-2013;4.65
605;03-05-2013;5.21
606;06-05-2013;5.07
607;07-05-2013;5.02
608;08-05-2013;4.51
609;09-05-2013;4.38
610;10-05-2013;5.04
611;13-05-2013;4.44
612;14-05-2013;4.49
613;15-05-2013;4.46
614;16-05-2013;4.48
615;17-05-2013;4.27
616;20-05-2013;4.28
617;21-05-2013;4.4
618;22-05-2013;4.25
619;23-05-2013;4.15
620;24-05-2013;4.96
621;27-05-2013;4.48
622;28-05-2013;4.4
623;29-05-2013;4.71
624;30-05-2013;5.13
625;31-05-2013;5.69
626;03-06-2013;5.86
627;04-06-2013;5.82
628;05-06-2013;5.81
629;06-06-2013;6.05
630;07-06-2013;6.0
631;10-06-2013;5.98
632;11-06-2013;6.18
633;12-06-2013;5.85
634;13-06-2013;5.8
635;14-06-2013;6.12
636;17-06-2013;6.0
637;18-06-2013;5.85
638;19-06-2013;5.86
639;20-06-2013;6.08
640;21-06-2013;6.44
641;24-06-2013;6.44
642;25-06-2013;6.47
643;26-06-2013;6.05
644;27-06-2013;5.95
645;28-06-2013;6.26
646;01-07-2013;5.98
647;02-07-2013;5.85
648;03-07-2013;5.89
649;04-07-2013;6.02
650;05-07-2013;6.43
651;08-07-2013;6.48
652;09-07-2013;6.5
653;10-07-2013;6.5
654;11-07-2013;6.49
655;12-07-2013;6.48
656;15-07-2013;6.43
657;16-07-2013;6.34
658;17-07-2013;5.82
659;18-07-2013;5.8
660;19-07-2013;6.21
661;22-07-2013;6.14
662;23-07-2013;6.46
663;24-07-2013;6.54
664;25-07-2013;7.2
665;26-07-2013;6.71
666;29-07-2013;6.79
667;30-07-2013;6.86
668;31-07-2013;7.25
669;01-08-2013;7.02
670;02-08-2013;7.23
671;05-08-2013;7.24
672;06-08-2013;7.24
673;07-08-2013;7.24
674;08-08-2013;
675;09-08-2013;
676;12-08-2013;7.23
677;13-08-2013;6.84
678;14-08-2013;6.86
679;15-08-2013;7.24
680;16-08-2013;6.99
