;Tarih;TP_DK_EUR_A_EF
2870;11-11-2009;2.1991
2871;12-11-2009;2.1994
2872;13-11-2009;2.1969
2873;14-11-2009;
2874;15-11-2009;
2875;16-11-2009;2.1934
2876;17-11-2009;2.1987
2877;18-11-2009;2.1973
2878;19-11-2009;2.1981
2879;20-11-2009;2.2031
2880;21-11-2009;
2881;22-11-2009;
2882;23-11-2009;2.2112
2883;24-11-2009;2.2236
2884;25-11-2009;2.2266
2885;26-11-2009;2.2281
2886;27-11-2009;
2887;28-11-2009;
2888;29-11-2009;
2889;30-11-2009;
2890;01-12-2009;2.2281
2891;02-12-2009;2.2611
2892;03-12-2009;2.2489
2893;04-12-2009;2.2379
2894;05-12-2009;
2895;06-12-2009;
2896;07-12-2009;2.2229
2897;08-12-2009;2.2023
2898;09-12-2009;2.2072
2899;10-12-2009;2.205
2900;11-12-2009;2.1974
2901;12-12-2009;
2902;13-12-2009;
2903;14-12-2009;2.1923
2904;15-12-2009;2.1891
2905;16-12-2009;2.1849
2906;17-12-2009;2.1835
2907;18-12-2009;2.1687
2908;19-12-2009;
2909;20-12-2009;
2910;21-12-2009;2.1715
2911;22-12-2009;2.1706
2912;23-12-2009;2.1707
2913;24-12-2009;2.1639
2914;25-12-2009;2.1665
2915;26-12-2009;
2916;27-12-2009;
2917;28-12-2009;2.1687
2918;29-12-2009;2.1671
2919;30-12-2009;2.1665
2920;31-12-2009;2.1588
2921;01-01-2010;
2922;02-01-2010;
2923;03-01-2010;
2924;04-01-2010;2.1412
2925;05-01-2010;2.1259
2926;06-01-2010;2.1138
2927;07-01-2010;2.1072
2928;08-01-2010;2.1078
2929;09-01-2010;
2930;10-01-2010;
2931;11-01-2010;2.0946
2932;12-01-2010;2.1031
2933;13-01-2010;2.0976
2934;14-01-2010;2.0948
2935;15-01-2010;2.1015
2936;16-01-2010;
2937;17-01-2010;
2938;18-01-2010;2.0889
2939;19-01-2010;2.0795
2940;20-01-2010;2.0816
2941;21-01-2010;2.0638
2942;22-01-2010;2.0685
2943;23-01-2010;
2944;24-01-2010;
2945;25-01-2010;2.0868
2946;26-01-2010;2.0913
2947;27-01-2010;2.101
2948;28-01-2010;2.0864
2949;29-01-2010;2.0803
